,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
493450,493450,2019-08-03 16:42:22,60422928733,fraud_Bode-Schuster,kids_pets,115.89,Jeffrey,Powers,M,38352 Parrish Road Apt. 652,North Augusta,SC,29860,33.6028,-81.9748,46944,Secondary school teacher,1942-04-02,3a744933f44b321f133748af6b0659bf,1344012142,34.587407,-81.637132,0,29178.0
521414,521414,2019-08-12 18:44:28,180094419304907,fraud_Volkman-Predovic,shopping_net,9.6,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,f871911d75576e074b0d0efc5518bf4b,1344797068,32.826867,-116.187009,0,
1289419,1289419,2020-06-18 13:18:39,676369110710,"fraud_Bahringer, Bergnaum and Quitzon",home,109.02,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,92b895a50192c3bbd41f7b5add9b3184,1371561519,42.140335,-82.843288,0,
547945,547945,2019-08-22 20:22:34,3540210836308425,fraud_Conroy-Emard,food_dining,54.84,Steven,Yoder,M,94975 David Mews Apt. 316,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,1992-06-19,c9cfb99b5417d404fc842a86a5aa72de,1345666954,35.149576,-101.816596,0,79103.0
545317,545317,2019-08-21 16:41:59,3540075240003197,fraud_Hudson-Grady,shopping_pos,1.53,Christian,Johns,M,892 Solis Neck,Lonsdale,MN,55046,44.4477,-93.4252,5211,Chief Strategy Officer,1987-01-27,edd3f90e7dbf9a551c4ad49c2275b163,1345567319,43.955645,-92.92077,0,55927.0
132291,132291,2019-03-14 02:36:16,4308156300921054,"fraud_Goldner, Kovacek and Abbott",grocery_pos,114.91,William,Marshall,M,454 Sawyer Forks Apt. 231,Collegeville,MN,56321,45.5783,-94.4199,1536,Farm manager,1981-02-18,03830f99d684213f8ba6eba12c0211f5,1331692576,45.551806,-93.7501,0,55371.0
1054240,1054240,2020-03-13 17:09:32,4518350514020532,fraud_Schuppe LLC,entertainment,47.93,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,4c78b1738c24f4da235f39e6e6007f5c,1363194572,27.829606,-80.865592,0,34739.0
1136089,1136089,2020-04-18 17:58:07,4514242065619750,"fraud_Metz, Russel and Metz",kids_pets,77.23,Janet,Carpenter,F,9870 Collins Flat,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02,c13728df837f75c218bc26ca32bfbd84,1366307887,40.481614,-104.544596,0,80624.0
932604,932604,2020-01-05 17:57:46,30344654314976,fraud_Adams-Barrows,health_fitness,76.24,Christine,Johnson,F,8011 Chapman Tunnel Apt. 568,Blairsden-Graeagle,CA,96103,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1967-05-27,cdf18355b954a03db5f969138a11a404,1357408666,38.828257,-120.979671,0,95651.0
34544,34544,2019-01-21 11:53:45,370348764075623,"fraud_Osinski, Ledner and Leuschke",grocery_pos,60.88,Christopher,Gomez,M,950 Dunn Squares,Tickfaw,LA,70466,30.5668,-90.482,8512,"Accountant, chartered public finance",1951-09-03,53f686cbe4608d2ec9cfc172db45280b,1327146825,30.275088,-90.910278,0,70769.0
9612,9612,2019-01-06 23:15:47,4561892980175,fraud_Jast and Sons,food_dining,51.22,Jacqueline,Allen,F,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,1968-02-10,3361456af21b2857f3c7b19f690e8f9e,1325891747,39.051936,-85.27915899999999,0,47042.0
853422,853422,2019-12-16 00:52:48,5359543825610251,fraud_Bauch-Raynor,grocery_pos,74.03,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,7dc9d65c03cd3f11c650e57567bea408,1355619168,45.333904,-111.07923,0,59730.0
967850,967850,2020-01-26 09:01:28,4500002361389,fraud_Wolf Inc,grocery_pos,110.52,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,35497820ea3b2b4f2bbb73583f6233e3,1359190888,37.800869,-75.381973,0,23302.0
207826,207826,2019-04-15 22:30:22,4364010865167176,"fraud_Romaguera, Wehner and Tromp",kids_pets,15.98,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,54ea1206fd478015803c832dbb681696,1334529022,38.639328000000006,-120.167028,0,
184613,184613,2019-04-06 13:44:30,3541160328600277,fraud_Douglas-White,entertainment,44.57,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,2003-05-07,5357b7e2a0b24f6729e9991ff45571dc,1333719870,38.74177,-89.681108,0,62249.0
1063674,1063674,2020-03-17 09:05:45,30428204673351,fraud_Kiehn Inc,grocery_pos,96.63,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,1982-07-02,0d32ad7e2197e5c87ec8f67e0407fc4e,1363511145,40.992995,-75.698882,0,18661.0
1229026,1229026,2020-05-28 04:06:07,3551217896304745,fraud_Sporer Inc,gas_transport,85.09,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,d9b2c8e53b8646215a89a83c3f5910eb,1369713967,45.221268,-74.093144,0,
1164350,1164350,2020-04-30 21:24:13,581508178315,"fraud_Lowe, Dietrich and Erdman",kids_pets,57.14,Michael,Vargas,M,933 Martin Rapids,Desdemona,TX,76445,32.2819,-98.5673,407,Clothing/textile technologist,1978-08-08,d75e3cbb1dda821b4dfef7f6c456e844,1367357053,31.981086,-98.307809,0,76446.0
